link_id,evidence_ref,target_object_type,target_object_id,evidence_use,confidence,quote_or_summary,source_id,notes
EVLINK_0001,EQ_PMC11833346_01,method_atom,ATOM_methods_report,method_atom,high,"Within the sixteen studies, there was a wide variety of applied processing software, with no two studies using the same processing pipeline or toolbox. Four studies did not report the software, while ",SRC_PMC11833346,From preprocessing_methods.software
EVLINK_0002,EQ_PMC11833346_02,background_only,,background_only,high,"six studies corrected for multiple comparisons (Bonferroni, false discovery rate, or family-wise error), one thresholded the t-maps at 50%, seven had no correction of alpha level, and one did not repo",SRC_PMC11833346,From analysis_methods.multiple_comparison_control
EVLINK_0003,EQ_PMC11833346_03,method_atom,ATOM_data_import,method_atom,high,"The number of channels differed along with technical advancement during the years the studies were conducted as well as the purpose of the studies (i.e., technical investigation or group-wise differen",SRC_PMC11833346,From acquisition.channels_n
EVLINK_0004,EQ_PMC11833346_04,background_only,ATOM_mbll_conversion,background_only,high,All included studies reported HbO2. The majority reported additionally HbR (N = 10) and only four studies reported total hemoglobin (HbT).,SRC_PMC11833346,From results_claims.CLM_PMC11833346_01
EVLINK_0005,EQ_PMC11833346_05,background_only,,background_only,high,"Especially the instruction on how the authors defined 'resting-state' is not reported in the majority of the studies. Another important point is that studies varied between eyes closed, eyes open, or ",SRC_PMC11833346,From risk_register.RSK_PMC11833346_04
EVLINK_0006,EQ_PMC11833346_06,background_only,,background_only,high,seven had no correction of alpha level,SRC_PMC11833346,From risk_register.RSK_PMC11833346_02
EVLINK_0007,EQ_PMC11833346_07,background_only,,background_only,high,"None of the studies was pre-registered. Also, data and code sharing, which is also mentioned by Yücel et al. (2021), would enable reproducibility.",SRC_PMC11833346,From risk_register.RSK_PMC11833346_06
EVLINK_0008,EQ_PMC11833346_08,method_atom,ATOM_signal_qc,risk_rule,high,"Ten of the 16 included studies reported clear rejection criteria based on signal-to-noise ratio or other signal quality metrics, but only three reported how many participants or channels were excluded",SRC_PMC11833346,From risk_register.RSK_PMC11833346_03
EVLINK_0009,EQ_PMC11833346_09,background_only,ATOM_resting_connectivity,background_only,high,"In Mild cognitive impairment, studies mainly found resting-state connectivity reductions in frontal regions. Hence, Mild cognitive impairment seems to be the only neurodegenerative disease that shows ",SRC_PMC11833346,From results_claims.CLM_PMC11833346_06
EVLINK_0010,EQ_PMC11833346_10,background_only,,background_only,high,"rsfNIRS seems to capture resting-state alterations related to neurodegenerative diseases... at the current state, we are far from finding a disease-specific biomarker due to study heterogeneity.",SRC_PMC11833346,From results_claims.CLM_PMC11833346_07
EVLINK_0011,EQ_PMC12929548_01,background_only,,background_only,high,"Most studies relied on unimodal neuroimaging, predominantly electroencephalography (EEG) or functional near-infrared spectroscopy (fNIRS), with only seven studies implementing multimodal combinations.",SRC_PMC12929548,From results_claims.CLM_PMC12929548_01
EVLINK_0012,EQ_PMC12929548_02,background_only,,background_only,high,"Analytically, functional connectivity dominated, whereas effective connectivity, multimodal fusion, and machine learning were scarcely used.",SRC_PMC12929548,From results_claims.CLM_PMC12929548_02
EVLINK_0013,EQ_PMC12929548_03,background_only,,background_only,high,"fNIRS emerged as the most versatile modality regarding analysis, appearing across nearly all analysis categories. It also represented the only instance of unsupervised machine learning within the incl",SRC_PMC12929548,From results_claims.CLM_PMC12929548_03
EVLINK_0014,EQ_PMC12929548_04,background_only,,background_only,high,"Executive function and social cognition consistently emerge as the most frequently investigated cognitive domains, forming the largest group of targeted cognitive functions.",SRC_PMC12929548,From results_claims.CLM_PMC12929548_04
EVLINK_0015,EQ_PMC12929548_05,background_only,,background_only,high,"Multimodal approaches remain rare. The most common pairing combined EEG with eye-tracking or ECG, the latter likely reflecting existing EEG measurement infrastructures. Notably, we did not identify an",SRC_PMC12929548,From risk_register.RSK_PMC12929548_01
EVLINK_0016,EQ_PMC12929548_06,background_only,,background_only,high,Only four out of 45 studies incorporated measures of effective connectivity. A possible explanation could be that effective connectivity measures require explicit biophysical or statistical generative,SRC_PMC12929548,From risk_register.RSK_PMC12929548_02
EVLINK_0017,EQ_PMC12929548_07,background_only,,background_only,high,"The degree of digitality modulates neural and behavioral responses, but the literature remains fragmented by different choices in task, measurement, and analysis. Findings from face-to-face hyperscann",SRC_PMC12929548,From results_claims.CLM_PMC12929548_05
EVLINK_0018,EQ_PMC12929548_08,background_only,,background_only,high,"We strongly encourage authors to report specific methodological details that directly impact the interpretation of inter-brain connectivity and synchronization. Based on our review of the literature, ",SRC_PMC12929548,From risk_register.RSK_PMC12929548_03
EVLINK_0019,EQ_PMC12505193_01,background_only,,background_only,high,"The dorsolateral PFC is identified as a critical area for Alzheimer's disease (AD) assessment using NIRS, correlating with cognitive performance.",SRC_PMC12505193,From results_claims.CLM_PMC12505193_01
EVLINK_0020,EQ_PMC12505193_02,background_only,ATOM_ml_classification,background_only,high,"Blood-based NIRS has emerged as a promising biomarker-driven approach for AD detection. Multivariate classification models of blood-based NIRS have achieved 92.8% accuracy, 87.5% sensitivity, and 96.1",SRC_PMC12505193,From results_claims.CLM_PMC12505193_02
EVLINK_0021,EQ_PMC12505193_03,method_atom,ATOM_methods_report,risk_rule,high,"Methodologically, the complexity of data processing poses another hurdle, as consistent preprocessing and reporting standards are lacking across studies. This complicates comparisons and undermines re",SRC_PMC12505193,From risk_register.RSK_PMC12505193_01
EVLINK_0022,EQ_PMC12505193_04,background_only,,background_only,high,"NIRS systems cost between $24,000 and $500,000, making them significantly more affordable than conventional neuroimaging methods. By comparison, MRI scanners can cost approximately $1.4 to $1.5 millio",SRC_PMC12505193,From results_claims.CLM_PMC12505193_04
EVLINK_0023,EQ_PMC12505193_05,background_only,,background_only,high,"Investigating NIRS findings in diverse ethnic groups, particularly underrepresented populations, is essential for a more inclusive understanding of neurological conditions and ensuring the equitable a",SRC_PMC12505193,From results_claims.CLM_PMC12505193_05
EVLINK_0024,EQ_PMC12061381_01,background_only,,background_only,high,"Neurophysiological metrics were observed to have superior sensitivity compared with peripheral autonomic measurements. EEG and fNIRS demonstrated 100% and 80% sensitivity, respectively, in detecting t",SRC_PMC12061381,From results_claims.CLM_PMC12061381_01
EVLINK_0025,EQ_PMC12061381_02,background_only,,background_only,high,Analysis by anatomical subregion identified workload-related activations across the bilateral DLPFC and VLPFC.,SRC_PMC12061381,From results_claims.CLM_PMC12061381_02
EVLINK_0026,EQ_PMC12061381_03,background_only,,background_only,high,CWL was not defined in 30 of 67 studies (44.8%).,SRC_PMC12061381,From results_claims.CLM_PMC12061381_03
EVLINK_0027,EQ_PMC12061381_04,background_only,,background_only,high,The specificity for cardiac and ocular systems was poor.,SRC_PMC12061381,From results_claims.CLM_PMC12061381_04
EVLINK_0028,EQ_PMC12061381_05,background_only,,background_only,high,"When >1 objective modality was used (multimodal studies), sensitivity increased.",SRC_PMC12061381,From results_claims.CLM_PMC12061381_05
EVLINK_0029,EQ_PMC12931874_01,background_only,,background_only,high,"Of the studies we identified, 5 of 10 in brain injury, 3 of 4 in brain development, 10 of 15 in neurodevelopment, 9 of 15 in AKI, and 1 of 3 in NEC reported associations with rSO2.",SRC_PMC12931874,From results_claims.CLM_PMC12931874_01
EVLINK_0030,EQ_PMC12931874_02,background_only,,background_only,high,The certainty of the evidence for all outcomes is regarded as low.,SRC_PMC12931874,From results_claims.CLM_PMC12931874_02
EVLINK_0031,EQ_PMC12931874_03,background_only,,background_only,high,"NIRS monitoring provides only a proxy for regional oxygenation, not a direct measure of oxygen delivery at a cellular level.",SRC_PMC12931874,From results_claims.CLM_PMC12931874_04
EVLINK_0032,EQ_PMC12931874_04,background_only,,background_only,high,Only seven studies performed quality control of NIRS measurements during data collection or processing.,SRC_PMC12931874,From risk_register.RSK_PMC12931874_02
EVLINK_0033,EQ_PMC12053328_01,background_only,,background_only,high,23 of the 41 studies reported increased HbO or HbT levels in the PFC during occupational workload.,SRC_PMC12053328,From results_claims.CLM_PMC12053328_01
EVLINK_0034,EQ_PMC12053328_02,background_only,,background_only,high,Only five studies examined typical office tasks.,SRC_PMC12053328,From results_claims.CLM_PMC12053328_02
EVLINK_0035,EQ_PMC12053328_03,background_only,,background_only,high,Only 17 explicitly implemented methods to correct systemic and extracerebral artifacts.,SRC_PMC12053328,From results_claims.CLM_PMC12053328_04
EVLINK_0036,EQ_PMC12053328_04,background_only,,background_only,high,Only two study conducted a sensitivity power analysis using G*Power 3 to determine sample size.,SRC_PMC12053328,From results_claims.CLM_PMC12053328_05
EVLINK_0037,EQ_PMC12053328_05,method_atom,ATOM_data_import,risk_rule,high,"Only two (63, 85) of the included studies employed this technique [short-separation channels], possibly due to hardware limitations in most fNIRS systems.",SRC_PMC12053328,From risk_register.RSK_PMC12053328_01
EVLINK_0038,EQ_PMC11221214_01,background_only,,background_only,high,"The incidence of postoperative delirium in the intervention group was significantly lower than that in the control group (OR, 0.657; 95% CI, 0.447–0.965; P = 0.032; I² = 0%).",SRC_PMC11221214,From results_claims.CLM_PMC11221214_01
EVLINK_0039,EQ_PMC11221214_02,background_only,,background_only,high,"There were no significant differences in the length of ICU stay (SMD, 0.005 days; 95% CI, −0.135–0.146; P = 0.940; I² = 39.3%).",SRC_PMC11221214,From results_claims.CLM_PMC11221214_02
EVLINK_0040,EQ_PMC11221214_03,background_only,,background_only,high,The definition criteria of cerebral oximetry desaturation in each study vary from below 75%–80% of baseline value or below 50%–60% of absolute value.,SRC_PMC11221214,From risk_register.RSK_PMC11221214_01
EVLINK_0041,EQ_PMC11221214_04,background_only,,background_only,high,Intraoperative rSO2 monitoring can reduce the incidence of POD and improve the postoperative quality of life.,SRC_PMC11221214,From results_claims.CLM_PMC11221214_04
EVLINK_0042,EQ_PMC7396619_01,background_only,,background_only,high,Several studies show that people can regulate hemodynamic signals from cortical brain regions with fNIRS-neurofeedback.,SRC_PMC7396619,From results_claims.CLM_PMC7396619_01
EVLINK_0043,EQ_PMC7396619_02,background_only,,background_only,high,The median sample size of the studies was 20 (12 per cell).,SRC_PMC7396619,From results_claims.CLM_PMC7396619_02
EVLINK_0044,EQ_PMC7396619_03,background_only,,background_only,high,Our results showed that the power was even insufficient to reliably detect large behavioral effects (0.43).,SRC_PMC7396619,From risk_register.RSK_PMC7396619_01
EVLINK_0045,EQ_PMC7396619_04,background_only,,background_only,high,Only one study reported a pre-registration of the experimental protocol.,SRC_PMC7396619,From risk_register.RSK_PMC7396619_03
EVLINK_0046,EQ_PMC7396619_05,background_only,ATOM_data_export,background_only,high,"None of the studies reported having uploaded materials, analysis scripts, code, or data to an open-access data repository.",SRC_PMC7396619,From results_claims.CLM_PMC7396619_05
EVLINK_0047,EQ_PMC3598807_01,background_only,,background_only,high,"By far, the most commonly used brand of system is Hitachi (58%). The second most common is Hamamatsu (20%).",SRC_PMC3598807,From results_claims.CLM_PMC3598807_01
EVLINK_0048,EQ_PMC3598807_02,background_only,,background_only,high,The lowest attrition rates are found in newborns and in 5- to 8-month-olds.,SRC_PMC3598807,From results_claims.CLM_PMC3598807_02
EVLINK_0049,EQ_PMC3598807_03,background_only,,background_only,high,"Oxy-Hb increased after stimulation in most of the entries (81 out of 95, or 85%).",SRC_PMC3598807,From results_claims.CLM_PMC3598807_03
EVLINK_0050,EQ_PMC3598807_04,background_only,ATOM_methods_report,background_only,high,We propose a set of strongly recommended and additional reporting guidelines.,SRC_PMC3598807,From results_claims.CLM_PMC3598807_04
EVLINK_0051,EQ_PMC12909569_01,background_only,,background_only,high,The mean accuracy across the studies was 93.39% with a standard deviation of 6.50%,SRC_PMC12909569,From results_claims.CLM_PMC12909569_01
EVLINK_0052,EQ_PMC12909569_02,background_only,,background_only,high,The inter-study agreement analysis demonstrated a strong heterogeneity regarding both neurophysiological findings and preprocessing strategies.,SRC_PMC12909569,From risk_register.RSK_PMC12909569_01
EVLINK_0053,EQ_PMC12909569_03,background_only,,background_only,high,"fNIRS studies focused on alterations in regions associated with language and social cognition, such as the inferior frontal gyrus (IFG) and temporal cortex (TC).",SRC_PMC12909569,From results_claims.CLM_PMC12909569_03
EVLINK_0054,EQ_PMC12909569_04,background_only,,background_only,high,"many studies employed in-house datasets, limiting reproducibility and preventing independent verification of the reported results.",SRC_PMC12909569,From results_claims.CLM_PMC12909569_04
EVLINK_0055,EQ_PMC12347915_01,background_only,,background_only,high,39 studies (83.0%) explicitly reported a positive association between fNIRS activation and symptom improvement.,SRC_PMC12347915,From results_claims.CLM_PMC12347915_01
EVLINK_0056,EQ_PMC12347915_02,background_only,,background_only,high,"Motion correction procedures were reported in 44.7% of the included studies (n = 21), while the remaining 55.3% (n = 26) did not apply or report any such correction.",SRC_PMC12347915,From risk_register.RSK_PMC12347915_01
EVLINK_0057,EQ_PMC12347915_03,background_only,,background_only,high,"The dorsolateral prefrontal cortex (DLPFC) was the most frequently measured region (55.3%), followed by broader prefrontal cortex (PFC) coverage (23.4%).",SRC_PMC12347915,From results_claims.CLM_PMC12347915_03
EVLINK_0058,EQ_PMC12347915_04,background_only,,background_only,high,Only 12.8% of studies explicitly stated whether a link between fNIRS signal change and clinical improvement was examined or found.,SRC_PMC12347915,From risk_register.RSK_PMC12347915_02
EVLINK_0059,EQ_PMC7868344_01,background_only,ATOM_ml_classification,background_only,high,"Fusing EEG and fNIRS is a well-known and established methodology proven to enhance brain-computer interface (BCI) performance in terms of classification accuracy, number of control commands, and respo",SRC_PMC7868344,From results_claims.CLM_PMC7868344_01
EVLINK_0060,EQ_PMC7868344_02,method_atom,ATOM_motion_correction,risk_rule,high,"since both modalities, EEG and fNIRS, are sensitive to motion artifacts, instrumental, and physiological noises, there is a quest for more robust and sophisticated signal processing algorithms.",SRC_PMC7868344,From risk_register.RSK_PMC7868344_01
EVLINK_0061,EQ_PMC7868344_03,background_only,,background_only,high,"hybrid temporal and spatial features, obtained by virtue of fusing EEG and fNIRS and associated with cortical activation, can help better identify the correlation between brain activation and gait.",SRC_PMC7868344,From results_claims.CLM_PMC7868344_03
EVLINK_0062,EQ_PMC12952035_01,background_only,,background_only,high,Functional near-infrared spectroscopy data suggested more efficient prefrontal recruitment during walking after interactive or enriched exercise.,SRC_PMC12952035,From results_claims.CLM_PMC12952035_03
EVLINK_0063,EQ_PMC12952035_02,background_only,,background_only,high,"Technology-assisted interventions that embedded cognitive demands in movement tasks produced small-to-moderate improvements in executive function, working memory, and dual-task gait.",SRC_PMC12952035,From results_claims.CLM_PMC12952035_01
EVLINK_0064,EQ_PMC12425739_01,background_only,,background_only,high,"Resting-state studies revealed reduced brain activation in the frontal, temporal, and parietal lobes in AD and MCI patients, along with significant reductions in tissue oxygenation index (TOI) and fun",SRC_PMC12425739,From results_claims.CLM_PMC12425739_01
EVLINK_0065,EQ_PMC12425739_02,background_only,,background_only,high,"Machine learning models applied to fNIRS data showed high accuracy in classifying MCI and AD, with some models achieving accuracy rates of up to 90%.",SRC_PMC12425739,From results_claims.CLM_PMC12425739_02
EVLINK_0066,EQ_PMC11428271_01,background_only,,background_only,high,There currently does not exist a robust gold-standard method for artifact management for these signals.,SRC_PMC11428271,From results_claims.CLM_PMC11428271_01
EVLINK_0067,EQ_PMC11428271_02,background_only,ATOM_motion_correction,background_only,high,The methods outlined in these articles were grouped under two major categories: (1) motion and other disconnection artifact removal methods; (2) data quality improvement and physiological/other noise ,SRC_PMC11428271,From results_claims.CLM_PMC11428271_02
EVLINK_0068,EQ_PMC10683738_01,background_only,,background_only,high,"Of 29 studies, 26 reported decreased NVC with increasing severity of cSVD, of which 18 were individually significant.",SRC_PMC10683738,From results_claims.CLM_PMC10683738_01
EVLINK_0069,EQ_PMC10683738_02,background_only,,background_only,high,"%BOLD occipital change to a visual stimulus was consistently reduced with more severe WMH (seven studies, SMD -1.51, p < 0.01) and increasing microbleeds (seven studies, SMD -1.31, p < 0.01).",SRC_PMC10683738,From results_claims.CLM_PMC10683738_02
EVLINK_0070,EQ_PMC10014824_01,background_only,,background_only,high,"The findings indicate that EEG is the preferred neuroimaging sensor for detecting brain activity patterns, compared to fMRI, fNIRS, and PET.",SRC_PMC10014824,From results_claims.CLM_PMC10014824_01
EVLINK_0072,EQ_PMC9245014_01,background_only,,background_only,high,"The findings from the review revealed that most of the articles have followed the social psychology paradigm, while 36% of the selected studies have an application in cognitive neuroscience.",SRC_PMC9245014,From results_claims.CLM_PMC9245014_01
EVLINK_0073,EQ_PMC9245014_02,background_only,,background_only,high,"While most of the experiments have control experiments as a part of their setup, a small number implemented algorithmic control, and only one study had interventional or a stimulus-induced control exp",SRC_PMC9245014,From risk_register.RSK_PMC9245014_01
EVLINK_0074,EQ_PMC8918582_01,background_only,,background_only,high,The random-effects modeling results confirmed a robust positive correlation between INS and learning outcomes.,SRC_PMC8918582,From results_claims.CLM_PMC8918582_01
