candidate_id,operation,parameter_name,value,unit,value_range,scenario,domain,target_flow_slot,evidence_refs,support_count,denominator_count,promote_to_default,default_scope,confidence,notes
CAND_ATOM_data_import_device,data_import,device,"""NIRx NIRScout""",,,general,data_import,data_import_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_data_import_wavelengths_nm,data_import,wavelengths_nm,"""760, 850""",,,general,data_import,data_import_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_data_import_sampling_rate_hz,data_import,sampling_rate_hz,"""7.8""",,,general,data_import,data_import_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_data_import_channels_n,data_import,channels_n,"""32 (long) + 2 short""",,,general,data_import,data_import_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_data_import_sd_distance_mm,data_import,sd_distance_mm,"""30 (long); 8 (short)""",,,general,data_import,data_import_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_data_import_hrf_model,data_import,hrf_model,"""fir""",,,general,data_import,data_import_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=inferred; retained as evidence candidate unless project_default.
CAND_ATOM_motion_correction_method,motion_correction,method,"""wavelet | spline | PCA | MARA | TDDR | manual""",,,general,preprocessing,motion_correction_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_motion_correction_domain,motion_correction,domain,"""wavelet""",,,general,preprocessing,motion_correction_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_low_hz,bandpass_filter,low_hz,"""0.01-0.5 (scenario-dependent)""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_high_hz,bandpass_filter,high_hz,"""0.1-0.7 (scenario-dependent)""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_type,bandpass_filter,type,"""N.A.""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_filter_low_hz,bandpass_filter,filter_low_hz,"""2.0""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=inferred; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_filter_high_hz,bandpass_filter,filter_high_hz,"""15.0""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=inferred; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_filter_type,bandpass_filter,filter_type,"""bandpass""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=inferred; retained as evidence candidate unless project_default.
CAND_ATOM_bandpass_filter_filter_order,bandpass_filter,filter_order,"""not_reported""",,,general,preprocessing,bandpass_filter_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=inferred; retained as evidence candidate unless project_default.
CAND_ATOM_short_channel_regression_short_channel_distance_mm,short_channel_regression,short_channel_distance_mm,"""8-15""",,,general,preprocessing,short_channel_regression_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_short_channel_regression_selection_method,short_channel_regression,selection_method,"""nearest_short_channel""",,,general,preprocessing,short_channel_regression_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_short_channel_regression_regression_type,short_channel_regression,regression_type,"""linear""",,,general,preprocessing,short_channel_regression_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_first_level_glm_hrf_model,first_level_glm,hrf_model,"""not_applicable""",,,general,analysis,first_level_glm_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_first_level_glm_nuisance_regressors,first_level_glm,nuisance_regressors,"""not_applicable""",,,general,analysis,first_level_glm_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_first_level_glm_multiple_comparison,first_level_glm,multiple_comparison,"""not_reported""",,,general,analysis,first_level_glm_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=missing; retained as evidence candidate unless project_default.
CAND_ATOM_first_level_glm_drift_order,first_level_glm,drift_order,"""not_reported""",,,general,analysis,first_level_glm_slot,synthesis_of_extracted_literature,,,no,,medium,parameter_status=inferred; retained as evidence candidate unless project_default.
CAND_ATOM_descriptive_statistics_grouping_variable,descriptive_statistics,grouping_variable,"""condition""",,,general,analysis,descriptive_statistics_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_descriptive_statistics_summary_measures,descriptive_statistics,summary_measures,"[""mean"", ""std"", ""median"", ""count"", ""min"", ""max""]",,,general,analysis,descriptive_statistics_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_comparison_test_type,group_comparison,test_type,"""t-test | ANOVA | mixed ANOVA | non-parametric""",,,general,analysis,group_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_comparison_paired,group_comparison,paired,"""boolean""",,,general,analysis,group_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_comparison_alternative,group_comparison,alternative,"""two-sided""",,,general,analysis,group_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_comparison_alpha,group_comparison,alpha,0.05,,,general,analysis,group_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
