source_id,study_id,title,year,doi,pmid,pmcid,source_path_or_url,content_level,source_type,access_date,extraction_method,notes
SRC_19154918,STU_19154918,Near-infrared spectroscopy: what we know and what we need to know--a systematic review of the congenital heart disease literature.,2008,10.1016/j.jtcvs.2008.08.005,19154918,,../PDF2MD0708/19154918.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_20542078,STU_20542078,Effects of incremental exercise on cerebral oxygenation measured by near-infrared spectroscopy: a systematic review.,2010,10.1016/j.pneurobio.2010.06.002,20542078,,../PDF2MD0708/20542078.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_23774396,STU_23774396,Statistical analysis of fNIRS data: a comprehensive review.,2013,10.1016/j.neuroimage.2013.06.016,23774396,,../PDF2MD0708/23774396.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_23782549,STU_23782549,Cerebral oximetry and cardiac arrest.,2013,10.1177/1089253213492861,23782549,,../PDF2MD0708/23782549.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_23891905,STU_23891905,Spatial registration for functional near-infrared spectroscopy: from channel position on the scalp to cortical location in individual and group analyses.,2013,10.1016/j.neuroimage.2013.07.025,23891905,,../PDF2MD0708/23891905.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_24481411,STU_24481411,How to monitor the brain during immediate neonatal transition and resuscitation? A systematic qualitative review of the literature.,2014,10.1159/000357162,24481411,,../PDF2MD0708/24481411.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_24897940,STU_24897940,Near-infrared spectroscopy for examination of prefrontal activation during cognitive tasks in patients with major depressive disorder: a meta-analysis of observational studies.,2014,10.1111/pcn.12209,24897940,,../PDF2MD0708/24897940.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_25079033,STU_25079033,A systematic review of cerebral oxygenation-monitoring devices in cardiac surgery.,2014,10.1177/0267659114544713,25079033,,../PDF2MD0708/25079033.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_25108906,STU_25108906,Cerebral oxygenation using near-infrared spectroscopy in the beach-chair position during shoulder arthroscopy under general anesthesia.,2014,10.1016/j.arthro.2014.05.042,25108906,,../PDF2MD0708/25108906.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_27028004,STU_27028004,Near-infrared Spectroscopy Monitoring During Cardiac Arrest: A Systematic Review and Meta-analysis.,2016,10.1111/acem.12980,27028004,,../PDF2MD0708/27028004.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_28046043,STU_28046043,Effects of Sleep Deprivation on Phase Synchronization as Assessed by Wavelet Phase Coherence Analysis of Prefrontal Tissue Oxyhemoglobin Signals.,2017,10.1371/journal.pone.0169279,28046043,PMC5207699,../PDF2MD0708/28046043.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_28519903,STU_28519903,Functional neuroimaging offers insights into delirium pathophysiology: A systematic review.,2017,10.1111/ajag.12417,28519903,,../PDF2MD0708/28519903.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
SRC_28800981,STU_28800981,Near-Infrared Spectroscopy in Adult Cardiac Surgery Patients: A Systematic Review and Meta-Analysis.,2017,10.1053/j.jvca.2017.02.187,28800981,,../PDF2MD0708/28800981.md,full_text,local_pmc_html,2026-08-27,manual_full_text_complete_read,Bibliographic title/year/DOI were not present in the bundled evidence-link resource.
